    40/299    0.818G   0.04185   0.03122  0.007969   0.08104        27       640    0.9157    0.9196    0.9586    0.5846   0.03333   0.02229  0.004683
    41/299    0.818G   0.04132   0.03208  0.007926   0.08132        18       640    0.9371    0.9114    0.9611    0.5725   0.03399   0.02201  0.004661
    42/299    0.818G   0.04154   0.03207  0.007923   0.08153        17       640    0.9517    0.9158    0.9666    0.5847   0.03352   0.02177  0.004528
    43/299    0.818G   0.04219    0.0309  0.007583   0.08068        18       640    0.9268    0.9418    0.9675    0.5992    0.0327   0.02168  0.004626
    44/299    0.818G   0.04185   0.03196  0.007801   0.08161        14       640    0.9423    0.9185     0.967     0.602   0.03241   0.02143  0.004565
    45/299    0.818G    0.0413   0.03177  0.007579   0.08064        19       640    0.9421    0.9328    0.9706    0.5785    0.0335   0.02151  0.004551
    46/299    0.818G   0.04124   0.03144  0.007719   0.08041        22       640    0.9351    0.9225    0.9619    0.6143   0.03251   0.02141  0.004514
    47/299    0.818G   0.04057   0.03133  0.007728   0.07963        17       640    0.9542    0.9109    0.9698      0.61   0.03186   0.02115  0.004394
    48/299    0.818G   0.03994   0.02999  0.007411   0.07733        10       640    0.9291    0.9343     0.969    0.5871   0.03256   0.02146  0.004429
    49/299    0.818G    0.0399    0.0314  0.007409   0.07871         9       640    0.9338    0.9313    0.9686    0.6264   0.03153   0.02121  0.004447
    50/299    0.818G   0.04087    0.0316  0.007653   0.08011         9       640    0.9473    0.9305    0.9722    0.6192   0.03215   0.02099  0.004438
    51/299    0.818G   0.03951    0.0302  0.007325   0.07703        10       640    0.9424    0.9453    0.9744    0.6236   0.03149    0.0208   0.00438
    52/299    0.818G   0.03993   0.03104  0.007264   0.07824        10       640    0.9516    0.9322     0.972    0.6146   0.03155   0.02084  0.004222
    53/299    0.818G   0.04013   0.03034  0.007163   0.07763        15       640    0.9377    0.9435    0.9741    0.6403   0.03075   0.02058  0.004326
    54/299    0.818G   0.03956   0.03027  0.007098   0.07693        19       640    0.9399    0.9475    0.9736    0.6514   0.03023   0.02052  0.004347
    55/299    0.818G   0.03896   0.02977   0.00735   0.07608        21       640    0.9353    0.9284    0.9679    0.6316   0.03041   0.02045  0.004253
    56/299    0.818G   0.03876   0.03019   0.00715    0.0761         9       640    0.9447    0.9483    0.9766    0.6218   0.03111   0.02015  0.004178
